corporate_id,company_name,industry,city,contract_start_date,contract_end_date,employee_count
CO043,NovaIndustries Pvt Ltd,E-commerce,Hyderabad,2023-08-23,2025-08-23,556
CO044,DeltaSolutions Pvt Ltd,Consulting,Kochi,2023-01-14,2025-01-14,4551
CO045,PrimeCorp Pvt Ltd,Retail,Thiruvananthapuram,2022-11-14,2024-11-14,4352
CO046,DeltaLogistics Pvt Ltd,Consulting,Kochi,2023-04-11,2025-04-11,219
CO047,NovaLogistics Pvt Ltd,Pharmaceuticals,Hyderabad,2021-10-04,2023-10-04,4568
CO048,PrimeSoft Pvt Ltd,Information Technology,Gurugram,2022-01-10,2024-01-10,2988
CO049,ApexCorp Pvt Ltd,Pharmaceuticals,Warangal,2022-07-07,2024-07-07,4637
CO050,ApexSoft Pvt Ltd,Pharmaceuticals,Mangaluru,2024-06-16,2026-06-16,261
CO051,TechSolutions Pvt Ltd,Telecommunications,Ahmedabad,2021-11-25,2023-11-25,2888
CO052,ZenCorp Pvt Ltd,Education,Vijayawada,2021-08-30,2023-08-30,1588
CO053,DeltaSoft Pvt Ltd,E-commerce,Chennai,2024-03-27,2026-03-27,2933
CO054,ZenSoft Pvt Ltd,Education,Kochi,2021-05-08,2023-05-08,3527
CO055,DeltaCorp Pvt Ltd,Banking & Finance,Thiruvananthapuram,2021-03-12,2023-03-12,4153
CO056,DeltaSystems Pvt Ltd,Manufacturing,Gurugram,2022-07-20,2024-07-20,3360
CO057,ApexSolutions Pvt Ltd,Banking & Finance,Vijayawada,2021-02-21,2023-02-21,3551
CO058,NovaSolutions Pvt Ltd,Telecommunications,Gurugram,2024-05-13,2026-05-13,581
CO059,PrimeSolutions Pvt Ltd,Education,Bengaluru,2022-03-22,2024-03-22,2197
CO060,TechSolutions Pvt Ltd,Consulting,Delhi,2024-05-02,2026-05-02,3916
