room_id,hospital_id,room_number,room_type,floor_number,daily_charge,room_status
RM00048,H003,208,Semi-Private,4,2893,Occupied
RM00049,H003,308,ICU,2,12477,Vacant
RM00050,H003,126,Private,5,6437,Vacant
RM00051,H003,103,Semi-Private,1,3124,Occupied
RM00052,H003,215,Emergency,1,4430,Vacant
RM00053,H003,224,Emergency,1,4231,Vacant
RM00054,H003,609,ICU,2,11848,Vacant
RM00055,H003,625,General,1,1810,Vacant
RM00056,H003,102,Semi-Private,1,2841,Vacant
RM00057,H003,122,General,3,1701,Occupied
RM00058,H003,221,Private,1,6118,Vacant
RM00059,H003,418,ICU,4,12154,Occupied
RM00060,H003,527,Semi-Private,5,3166,Occupied
RM00061,H003,215,Semi-Private,6,3342,Occupied
RM00062,H003,224,Emergency,5,3808,Occupied
RM00063,H003,210,Semi-Private,3,3341,Occupied
RM00064,H004,425,General,4,1912,Vacant
RM00065,H004,315,ICU,4,12208,Occupied
RM00066,H004,512,Semi-Private,5,2968,Vacant
RM00067,H004,314,General,2,1374,Occupied
RM00068,H004,322,Private,2,6065,Occupied
RM00069,H004,622,Emergency,1,3878,Occupied
RM00070,H004,322,Emergency,4,4357,Vacant
RM00071,H004,506,General,2,1467,Occupied
RM00072,H004,609,Private,6,6386,Vacant
RM00073,H004,426,Private,6,6109,Occupied
RM00074,H004,326,Emergency,6,4204,Vacant
RM00075,H004,311,Private,1,6068,Occupied
RM00076,H004,405,Private,5,6400,Occupied
RM00077,H004,423,Semi-Private,1,3291,Occupied
RM00078,H004,503,Semi-Private,3,3039,Vacant
RM00079,H004,413,Semi-Private,3,3479,Occupied
RM00080,H004,224,Semi-Private,5,3160,Occupied
RM00081,H004,630,Private,6,5950,Vacant
RM00082,H004,127,Emergency,2,4252,Occupied
RM00083,H004,426,General,4,1751,Vacant
RM00084,H004,120,Semi-Private,6,3271,Vacant
RM00085,H004,520,Semi-Private,6,3018,Occupied
RM00086,H004,406,Emergency,1,4290,Occupied
RM00087,H004,504,Semi-Private,5,2889,Vacant
RM00088,H004,218,Emergency,2,4329,Vacant
RM00089,H004,117,Emergency,6,4015,Vacant
RM00090,H004,115,Private,2,6437,Occupied
RM00091,H004,611,Emergency,3,3811,Occupied
RM00092,H004,504,ICU,3,11896,Vacant
RM00093,H005,405,Private,4,6314,Occupied
RM00094,H005,203,ICU,4,12202,Vacant
RM00095,H005,606,ICU,3,12035,Vacant
RM00096,H005,309,General,3,1719,Vacant
RM00097,H005,123,Private,3,6406,Vacant
RM00098,H005,221,Private,1,5871,Occupied
RM00099,H005,607,ICU,2,12357,Occupied
RM00100,H005,311,Private,1,5891,Occupied
RM00101,H005,203,Semi-Private,5,3333,Vacant
RM00102,H005,318,Emergency,1,4009,Occupied
RM00103,H005,329,General,5,1550,Occupied
RM00104,H005,520,Emergency,6,4039,Occupied
RM00105,H005,605,Emergency,6,3989,Occupied
RM00106,H005,223,General,3,1370,Vacant
RM00107,H005,430,ICU,5,12249,Occupied
RM00108,H005,507,ICU,6,12360,Occupied
RM00109,H005,423,Semi-Private,4,3259,Occupied
RM00110,H005,601,General,5,1979,Occupied
RM00111,H005,323,Semi-Private,3,3394,Vacant
RM00112,H005,322,Semi-Private,5,3158,Vacant
RM00113,H005,203,General,2,1672,Occupied
RM00114,H005,104,Semi-Private,2,3146,Occupied
RM00115,H005,424,Semi-Private,3,3198,Occupied
RM00116,H005,402,Semi-Private,4,3286,Vacant
RM00117,H005,310,ICU,1,12015,Vacant
RM00118,H005,506,Private,2,5922,Occupied
RM00119,H005,325,Private,6,6305,Occupied
RM00120,H005,311,Private,2,5966,Occupied
RM00121,H005,329,Emergency,3,4124,Occupied
RM00122,H005,510,ICU,3,11814,Occupied
RM00123,H005,224,Emergency,4,3855,Occupied
RM00124,H005,517,Semi-Private,3,3392,Vacant
RM00125,H005,226,Emergency,6,4344,Vacant
RM00126,H005,623,Emergency,6,4216,Vacant
RM00127,H005,517,Emergency,1,3900,Occupied
RM00128,H005,606,Private,5,6152,Occupied
RM00129,H005,607,Private,1,6121,Occupied
RM00130,H005,614,Semi-Private,1,3060,Vacant
RM00131,H005,427,General,2,1968,Occupied
RM00132,H005,606,ICU,4,12066,Vacant
RM00133,H005,128,General,6,1952,Vacant
RM00134,H005,221,General,5,1600,Vacant
RM00135,H005,419,General,5,1532,Vacant
RM00136,H005,424,ICU,5,12324,Vacant
RM00137,H005,317,General,3,1899,Occupied
RM00138,H005,501,Private,6,6167,Vacant
RM00139,H005,318,Semi-Private,4,3335,Occupied
RM00140,H006,304,General,3,1811,Maintenance
RM00141,H006,122,Private,5,6330,Occupied
RM00142,H006,328,Emergency,1,4131,Vacant
RM00143,H006,519,ICU,2,11937,Vacant
RM00144,H006,421,Semi-Private,5,2834,Vacant
RM00145,H006,517,ICU,3,12490,Occupied
RM00146,H006,423,ICU,2,12035,Occupied
RM00147,H006,630,Emergency,5,4117,Occupied
RM00148,H006,110,Emergency,1,4121,Vacant
RM00149,H006,225,Emergency,5,4109,Occupied
RM00150,H006,427,ICU,4,12084,Occupied
RM00151,H006,225,Private,4,6086,Vacant
RM00152,H006,418,ICU,3,12229,Occupied
RM00153,H006,113,ICU,3,12042,Occupied
RM00154,H007,113,General,5,1677,Vacant
RM00155,H007,210,Private,1,6306,Occupied
RM00156,H007,410,Emergency,4,4360,Occupied
RM00157,H007,608,ICU,3,12008,Occupied
RM00158,H007,104,General,1,1327,Occupied
RM00159,H007,507,Emergency,6,3920,Vacant
RM00160,H007,625,Emergency,1,4076,Occupied
RM00161,H007,124,General,2,1346,Vacant
RM00162,H007,315,ICU,3,12373,Occupied
RM00163,H007,616,Private,5,6246,Occupied
RM00164,H007,329,Emergency,2,3993,Vacant
RM00165,H007,224,General,1,1476,Occupied
RM00166,H007,209,Emergency,4,3808,Occupied
RM00167,H007,616,General,1,1898,Occupied
RM00168,H007,626,Emergency,3,4259,Occupied
RM00169,H007,423,Semi-Private,3,2967,Occupied
RM00170,H007,610,Semi-Private,6,3272,Occupied
RM00171,H007,420,Semi-Private,1,3444,Occupied
RM00172,H007,413,Private,4,6421,Vacant
RM00173,H007,425,General,6,1478,Vacant
RM00174,H007,226,Semi-Private,2,2918,Vacant
RM00175,H007,615,Emergency,1,4320,Vacant
RM00176,H007,227,Semi-Private,3,3083,Occupied
RM00177,H007,412,Emergency,1,4362,Occupied
RM00178,H007,607,General,5,1629,Occupied
RM00179,H007,502,Emergency,2,4370,Occupied
RM00180,H007,215,General,5,1504,Occupied
RM00181,H007,613,Semi-Private,5,3082,Vacant
RM00182,H007,122,Private,6,6100,Vacant
RM00183,H007,502,ICU,3,12093,Occupied
RM00184,H007,308,General,4,1948,Vacant
RM00185,H007,601,ICU,4,11821,Vacant
RM00186,H007,222,Semi-Private,5,2950,Occupied
RM00187,H007,122,General,6,1476,Vacant
RM00188,H007,114,Emergency,6,4293,Vacant
RM00189,H007,221,Emergency,3,4232,Occupied
RM00190,H007,201,Private,5,5950,Occupied
RM00191,H007,105,Semi-Private,5,3360,Occupied
RM00192,H007,107,Emergency,3,4349,Vacant
RM00193,H007,629,Semi-Private,2,3033,Occupied
RM00194,H007,210,Semi-Private,3,2941,Occupied
RM00195,H008,117,ICU,2,12369,Occupied
RM00196,H008,325,General,5,1898,Vacant
RM00197,H008,522,Private,2,6486,Occupied
RM00198,H008,206,Semi-Private,5,3108,Occupied
RM00199,H008,120,ICU,5,12380,Occupied
RM00200,H008,523,General,1,1821,Occupied
RM00201,H008,108,Semi-Private,6,3032,Occupied
RM00202,H008,622,Private,2,5882,Vacant
RM00203,H008,612,Private,3,6063,Occupied
RM00204,H008,401,Semi-Private,6,2852,Vacant
RM00205,H008,530,Emergency,6,4452,Vacant
RM00206,H009,325,ICU,3,11969,Vacant
RM00207,H009,522,Private,4,6005,Occupied
RM00208,H009,317,ICU,3,12463,Occupied
RM00209,H009,427,Semi-Private,3,3027,Occupied
RM00210,H009,113,General,6,1304,Vacant
RM00211,H009,201,Emergency,6,4265,Occupied
RM00212,H009,622,ICU,4,12294,Vacant
RM00213,H009,319,Emergency,5,4252,Vacant
RM00214,H009,624,General,6,1624,Occupied
RM00215,H009,208,Semi-Private,3,3027,Occupied
RM00216,H009,502,ICU,2,12052,Occupied
RM00217,H009,326,Emergency,6,3857,Occupied
RM00218,H009,610,Emergency,6,4269,Occupied
RM00219,H009,506,General,4,1837,Occupied
RM00220,H009,420,General,6,1710,Occupied
RM00221,H009,129,Emergency,5,4428,Occupied
RM00222,H009,322,Semi-Private,2,3265,Occupied
RM00223,H009,423,General,2,1757,Occupied
RM00224,H009,428,General,6,1323,Occupied
RM00225,H009,321,ICU,3,12140,Vacant
RM00226,H009,428,ICU,3,12291,Occupied
RM00227,H009,129,General,4,1764,Vacant
RM00228,H009,323,Private,5,6420,Vacant
RM00229,H009,126,Emergency,6,4302,Vacant
RM00230,H009,421,ICU,4,12331,Vacant
RM00231,H009,108,Emergency,1,3969,Maintenance
RM00232,H009,208,Emergency,6,4492,Vacant
RM00233,H009,507,General,2,1609,Occupied
RM00234,H009,426,Emergency,1,4127,Vacant
RM00235,H010,220,General,6,1498,Occupied
RM00236,H010,528,Semi-Private,1,2994,Vacant
RM00237,H010,204,Private,2,6251,Vacant
RM00238,H010,230,General,6,1884,Occupied
RM00239,H010,318,General,5,1941,Vacant
RM00240,H010,125,Emergency,5,4354,Occupied
RM00241,H010,528,Private,5,6273,Occupied
RM00242,H010,619,Semi-Private,2,3292,Occupied
RM00243,H010,505,Emergency,5,4040,Vacant
RM00244,H010,513,Emergency,2,4391,Occupied
RM00245,H010,406,General,1,1583,Maintenance
RM00246,H010,514,ICU,2,11841,Vacant
RM00247,H010,128,Emergency,4,4392,Occupied
RM00248,H010,318,Emergency,4,4291,Occupied
RM00249,H010,620,ICU,5,12216,Vacant
RM00250,H010,327,Private,3,6400,Occupied
RM00251,H010,303,Emergency,1,3908,Occupied
RM00252,H010,425,Semi-Private,2,3130,Occupied
RM00253,H010,201,ICU,6,11904,Maintenance
RM00254,H010,516,General,2,1645,Occupied
RM00255,H010,201,Semi-Private,2,2965,Vacant
RM00256,H010,216,ICU,6,12181,Occupied
RM00257,H010,216,Private,6,6482,Occupied
RM00258,H010,123,General,3,1526,Occupied
RM00259,H010,428,ICU,2,12355,Occupied
RM00260,H010,425,ICU,3,12396,Occupied
RM00261,H010,415,ICU,1,12469,Vacant
RM00262,H010,401,Private,3,5993,Vacant
RM00263,H010,430,Private,6,6139,Vacant
RM00264,H010,329,ICU,1,12428,Occupied
RM00265,H010,209,Emergency,6,4462,Occupied
RM00266,H010,620,ICU,5,12301,Occupied
RM00267,H010,426,Private,2,6428,Occupied
RM00268,H010,416,General,2,1698,Vacant
RM00269,H010,225,Private,5,5802,Vacant
RM00270,H010,103,Emergency,1,3823,Occupied
RM00271,H010,508,ICU,1,12330,Vacant
RM00272,H010,614,Semi-Private,2,3288,Vacant
RM00273,H010,518,General,4,1995,Vacant
RM00274,H011,206,Semi-Private,3,2857,Vacant
RM00275,H011,507,General,2,1939,Vacant
RM00276,H011,428,Semi-Private,3,3464,Occupied
RM00277,H011,322,Private,6,6158,Vacant
RM00278,H011,330,Private,4,5964,Occupied
RM00279,H011,620,ICU,2,12097,Occupied
RM00280,H011,624,ICU,6,12270,Vacant
RM00281,H011,410,General,1,1717,Vacant
RM00282,H011,415,Emergency,5,4391,Vacant
RM00283,H011,122,Semi-Private,4,2923,Occupied
RM00284,H011,518,ICU,2,11995,Occupied
RM00285,H011,505,General,3,1919,Vacant
RM00286,H011,118,Semi-Private,4,3330,Vacant
RM00287,H011,501,ICU,5,11871,Occupied
RM00288,H011,203,General,2,1715,Occupied
RM00289,H011,112,Emergency,4,4289,Occupied
RM00290,H011,406,Semi-Private,2,3132,Vacant
RM00291,H011,507,General,2,1624,Occupied
RM00292,H011,310,Emergency,2,4298,Vacant
RM00293,H011,229,Emergency,5,4060,Occupied
RM00294,H011,212,General,6,1435,Occupied
RM00295,H011,206,Private,1,6376,Maintenance
RM00296,H011,217,Emergency,6,3920,Occupied
RM00297,H011,513,ICU,6,12228,Occupied
RM00298,H011,507,ICU,1,11997,Maintenance
RM00299,H011,220,ICU,6,12072,Occupied
RM00300,H011,229,Emergency,4,4158,Occupied
RM00301,H011,429,ICU,6,12347,Vacant
RM00302,H011,504,Private,3,6468,Occupied
RM00303,H011,613,Emergency,4,4376,Vacant
RM00304,H011,510,General,3,1369,Vacant
RM00305,H011,524,General,3,1936,Vacant
RM00306,H011,226,Private,5,6144,Occupied
RM00307,H011,302,Emergency,3,4212,Occupied
RM00308,H011,626,Private,5,6019,Vacant
RM00309,H011,102,General,4,1672,Vacant
RM00310,H011,423,Emergency,5,4432,Occupied
RM00311,H011,316,Semi-Private,6,3474,Vacant
RM00312,H011,230,General,2,1644,Vacant
RM00313,H011,606,General,2,1786,Occupied
RM00314,H011,322,Private,5,6174,Vacant
RM00315,H011,222,General,1,1763,Vacant
RM00316,H011,211,Emergency,3,4238,Occupied
RM00317,H011,208,ICU,5,12184,Occupied
RM00318,H011,507,ICU,5,11811,Maintenance
RM00319,H012,114,Private,2,6356,Occupied
RM00320,H012,213,ICU,4,12436,Vacant
RM00321,H012,523,General,5,1339,Occupied
RM00322,H012,605,ICU,2,12432,Maintenance
RM00323,H012,413,General,3,1845,Occupied
RM00324,H012,110,ICU,6,12483,Vacant
RM00325,H012,301,Private,6,5986,Vacant
RM00326,H012,313,Emergency,3,3819,Vacant
RM00327,H012,617,Private,3,6373,Occupied
RM00328,H012,506,Private,2,6350,Occupied
RM00329,H012,613,Private,1,5936,Occupied
RM00330,H012,212,Emergency,1,3883,Vacant
RM00331,H012,521,Private,4,5993,Occupied
RM00332,H012,524,Semi-Private,1,3158,Occupied
RM00333,H012,116,ICU,1,12476,Vacant
RM00334,H012,211,Private,6,5907,Occupied
RM00335,H012,203,Emergency,4,3964,Occupied
RM00336,H012,118,General,6,1569,Occupied
RM00337,H012,603,Semi-Private,3,3257,Vacant
RM00338,H012,125,ICU,2,12231,Occupied
RM00339,H012,523,Emergency,5,4419,Occupied
RM00340,H012,527,Private,3,5999,Vacant
RM00341,H012,522,Emergency,4,4351,Vacant
RM00342,H012,423,General,4,1827,Vacant
RM00343,H012,411,Emergency,1,3907,Vacant
RM00344,H012,515,Emergency,3,4459,Occupied
RM00345,H012,226,ICU,2,11885,Occupied
RM00346,H012,525,ICU,3,12100,Occupied
RM00347,H012,430,Private,6,6273,Occupied
RM00348,H012,525,General,6,1650,Vacant
RM00349,H012,617,Emergency,6,3995,Occupied
RM00350,H012,410,Private,6,6037,Vacant
RM00351,H012,612,ICU,3,11884,Maintenance
RM00352,H012,627,General,3,1736,Occupied
RM00353,H012,402,ICU,1,12457,Occupied
RM00354,H012,213,ICU,4,12438,Vacant
RM00355,H012,502,General,3,1428,Occupied
RM00356,H012,201,Emergency,1,4371,Occupied
RM00357,H012,227,ICU,1,12232,Vacant
RM00358,H012,630,Private,4,5840,Occupied
RM00359,H012,610,ICU,5,12005,Vacant
RM00360,H012,411,Semi-Private,3,3351,Occupied
RM00361,H012,224,Emergency,2,4032,Vacant
RM00362,H012,508,Private,6,5958,Occupied
RM00363,H012,511,Private,5,5968,Occupied
RM00364,H013,601,Semi-Private,4,3239,Occupied
RM00365,H013,316,Semi-Private,5,3259,Vacant
RM00366,H013,119,General,1,1321,Occupied
RM00367,H013,101,Emergency,1,3820,Occupied
RM00368,H013,614,Semi-Private,4,3219,Vacant
RM00369,H013,501,ICU,5,12323,Vacant
RM00370,H013,323,Private,5,6394,Vacant
RM00371,H013,216,ICU,6,12297,Vacant
RM00372,H013,105,Private,6,6423,Vacant
RM00373,H013,302,Semi-Private,1,2957,Occupied
RM00374,H013,112,Emergency,2,4177,Occupied
RM00375,H013,529,Private,2,6292,Occupied
RM00376,H013,428,Emergency,4,4203,Vacant
RM00377,H013,210,ICU,2,12420,Vacant
RM00378,H013,217,Semi-Private,1,2912,Vacant
RM00379,H013,429,General,6,1345,Occupied
RM00380,H013,310,ICU,4,11820,Occupied
RM00381,H013,530,Private,4,6071,Vacant
RM00382,H013,611,ICU,1,12266,Occupied
RM00383,H013,130,Semi-Private,2,3009,Occupied
RM00384,H013,608,Private,3,6412,Occupied
RM00385,H013,127,Semi-Private,4,3093,Occupied
RM00386,H013,608,General,4,1656,Occupied
RM00387,H013,409,General,5,1718,Vacant
RM00388,H013,619,Emergency,5,3991,Vacant
RM00389,H013,523,Semi-Private,4,3490,Vacant
RM00390,H013,605,Semi-Private,4,3341,Occupied
RM00391,H013,510,Semi-Private,6,3439,Vacant
RM00392,H013,229,ICU,3,12175,Vacant
RM00393,H013,105,General,1,1973,Vacant
RM00394,H013,109,Emergency,6,4406,Vacant
RM00395,H013,211,Private,2,6144,Vacant
RM00396,H013,103,Semi-Private,5,3196,Occupied
RM00397,H013,616,Emergency,1,4144,Vacant
RM00398,H013,309,Emergency,3,4494,Vacant
RM00399,H014,109,Emergency,3,3951,Vacant
RM00400,H014,105,General,1,1955,Vacant
RM00401,H014,522,Emergency,4,3801,Vacant
RM00402,H014,227,General,6,1950,Occupied
RM00403,H014,203,Private,2,5901,Vacant
RM00404,H014,110,General,4,1854,Occupied
RM00405,H014,305,ICU,1,11841,Vacant
RM00406,H014,318,Emergency,4,4121,Occupied
RM00407,H014,611,Private,6,6243,Vacant
RM00408,H014,427,Emergency,2,3987,Occupied
RM00409,H014,621,General,3,1572,Occupied
RM00410,H014,403,General,1,1655,Maintenance
RM00411,H014,407,ICU,5,11947,Vacant
RM00412,H014,527,ICU,1,12276,Maintenance
RM00413,H014,322,ICU,5,12461,Occupied
RM00414,H014,325,Semi-Private,5,2992,Vacant
RM00415,H014,629,Emergency,6,4141,Occupied
RM00416,H014,605,Private,1,6111,Occupied
RM00417,H014,110,General,5,1500,Vacant
RM00418,H014,405,ICU,4,12054,Vacant
RM00419,H014,307,Private,5,5961,Occupied
RM00420,H014,218,Private,2,5959,Vacant
RM00421,H014,228,ICU,2,12145,Occupied
RM00422,H014,317,Semi-Private,2,3266,Occupied
RM00423,H014,228,Semi-Private,1,2873,Occupied
RM00424,H014,314,ICU,4,12172,Vacant
RM00425,H014,217,General,1,1916,Maintenance
RM00426,H014,118,Private,3,5969,Occupied
RM00427,H014,404,Emergency,1,3923,Vacant
RM00428,H014,325,General,3,1521,Occupied
RM00429,H014,119,Private,5,5854,Vacant
RM00430,H014,227,Emergency,3,3842,Vacant
RM00431,H014,601,ICU,1,12341,Vacant
RM00432,H014,510,ICU,6,12339,Occupied
RM00433,H014,522,Private,3,5959,Occupied
RM00434,H014,415,Semi-Private,4,3335,Occupied
RM00435,H014,323,Private,4,6100,Occupied
RM00436,H014,506,Semi-Private,4,3305,Occupied
RM00437,H014,507,General,2,1668,Occupied
RM00438,H014,410,ICU,5,12086,Occupied
RM00439,H015,203,Semi-Private,4,3194,Occupied
RM00440,H015,207,Private,5,5904,Maintenance
RM00441,H015,515,Emergency,1,4094,Occupied
RM00442,H015,630,General,6,1527,Vacant
RM00443,H015,415,ICU,5,12025,Occupied
RM00444,H015,110,Private,5,6051,Occupied
RM00445,H015,405,Semi-Private,2,2869,Vacant
RM00446,H015,612,Private,2,6023,Vacant
RM00447,H015,610,Semi-Private,4,3279,Vacant
RM00448,H015,128,Semi-Private,6,3244,Occupied
RM00449,H015,317,Emergency,2,4264,Vacant
RM00450,H015,310,ICU,6,12197,Vacant
RM00451,H015,503,Emergency,3,4492,Vacant
RM00452,H016,516,Emergency,2,4450,Occupied
RM00453,H016,616,Semi-Private,5,3128,Maintenance
RM00454,H016,322,General,6,1957,Occupied
RM00455,H016,517,Semi-Private,6,3004,Occupied
RM00456,H016,404,ICU,5,11821,Occupied
RM00457,H016,313,General,1,1401,Vacant
RM00458,H016,312,Private,1,5844,Occupied
RM00459,H016,521,Private,5,5925,Vacant
RM00460,H016,528,ICU,4,11906,Occupied
RM00461,H016,520,Emergency,1,3865,Occupied
RM00462,H016,427,Emergency,2,4406,Occupied
RM00463,H016,124,General,2,1724,Occupied
RM00464,H016,325,General,4,1472,Vacant
RM00465,H016,202,Private,4,5849,Occupied
RM00466,H016,113,General,5,1793,Occupied
RM00467,H016,309,General,2,1641,Vacant
RM00468,H016,526,ICU,2,11868,Vacant
RM00469,H016,615,Private,1,6395,Vacant
RM00470,H016,608,Semi-Private,2,3308,Vacant
RM00471,H016,616,General,2,1429,Occupied
RM00472,H017,320,ICU,2,11923,Vacant
RM00473,H017,126,Semi-Private,2,3106,Occupied
RM00474,H017,602,Emergency,3,4219,Vacant
RM00475,H017,115,Semi-Private,2,2880,Vacant
RM00476,H017,407,Private,1,5872,Occupied
RM00477,H017,615,ICU,1,12467,Occupied
RM00478,H017,418,Emergency,2,4158,Occupied
RM00479,H017,330,Private,3,6170,Vacant
RM00480,H017,504,General,2,1397,Occupied
RM00481,H017,401,Private,5,6394,Occupied
RM00482,H017,108,Private,3,6466,Vacant
RM00483,H017,309,General,6,1306,Occupied
RM00484,H018,325,ICU,4,11912,Vacant
RM00485,H018,605,ICU,6,12401,Occupied
RM00486,H018,523,ICU,1,11994,Occupied
RM00487,H018,225,Private,5,6088,Vacant
RM00488,H018,427,General,2,1323,Vacant
RM00489,H018,528,ICU,3,12155,Vacant
RM00490,H018,311,Emergency,5,4108,Occupied
RM00491,H018,215,Semi-Private,6,3295,Maintenance
RM00492,H018,204,General,5,1355,Occupied
RM00493,H018,405,ICU,3,11981,Occupied
RM00494,H018,624,Semi-Private,3,3060,Vacant
RM00495,H018,123,Private,5,5839,Occupied
RM00496,H018,321,ICU,2,11866,Vacant
RM00497,H018,507,General,1,1725,Occupied
RM00498,H018,307,Private,6,6301,Occupied
RM00499,H018,306,Emergency,3,4255,Vacant
RM00500,H018,306,Private,2,6271,Maintenance
RM00501,H018,223,Private,3,6379,Vacant
RM00502,H018,317,Semi-Private,4,3332,Vacant
RM00503,H018,621,Emergency,6,3998,Occupied
RM00504,H018,211,Private,1,5988,Maintenance
RM00505,H019,430,Semi-Private,4,3067,Vacant
RM00506,H019,107,Emergency,2,4330,Occupied
RM00507,H019,230,General,4,1309,Occupied
RM00508,H019,623,ICU,4,12143,Occupied
RM00509,H019,128,Semi-Private,6,3441,Vacant
RM00510,H019,124,General,3,1312,Vacant
RM00511,H019,609,Semi-Private,2,2848,Occupied
RM00512,H019,421,Emergency,2,4366,Occupied
RM00513,H019,327,Semi-Private,1,2855,Occupied
RM00514,H019,624,Private,4,6045,Occupied
RM00515,H019,414,ICU,5,12086,Vacant
RM00516,H019,428,Semi-Private,3,3319,Occupied
RM00517,H019,320,Emergency,1,4420,Vacant
RM00518,H019,629,Emergency,3,3916,Vacant
RM00519,H019,326,Private,3,6128,Occupied
RM00520,H019,513,Semi-Private,4,3309,Occupied
RM00521,H019,510,Private,2,6354,Occupied
RM00522,H019,618,Emergency,5,4473,Occupied
RM00523,H019,413,ICU,2,12049,Vacant
RM00524,H019,526,Semi-Private,1,3417,Occupied
RM00525,H019,324,Private,1,6188,Occupied
RM00526,H019,526,Private,4,6267,Occupied
RM00527,H019,609,Private,6,6387,Occupied
RM00528,H019,128,Private,4,6180,Vacant
RM00529,H019,412,ICU,1,11985,Vacant
RM00530,H019,422,ICU,6,12464,Vacant
RM00531,H019,115,Emergency,3,4031,Occupied
RM00532,H019,508,Semi-Private,3,3174,Occupied
RM00533,H019,208,Emergency,3,4482,Vacant
RM00534,H019,304,ICU,3,12344,Occupied
RM00535,H019,120,Semi-Private,3,3298,Occupied
RM00536,H019,514,Private,4,6218,Maintenance
RM00537,H019,625,Private,4,5885,Occupied
RM00538,H019,522,Emergency,2,4035,Vacant
RM00539,H019,304,Private,3,6191,Occupied
RM00540,H019,419,Emergency,6,4009,Occupied
RM00541,H019,322,Semi-Private,2,3429,Occupied
RM00542,H019,620,Private,2,6284,Maintenance
RM00543,H019,621,Private,6,5963,Vacant
RM00544,H019,203,Emergency,6,3882,Vacant
RM00545,H019,415,Emergency,6,4070,Vacant
RM00546,H019,417,Private,4,6338,Vacant
RM00547,H019,201,Semi-Private,4,2864,Occupied
RM00548,H019,420,General,3,1557,Vacant
RM00549,H019,213,Emergency,5,4310,Vacant
RM00550,H019,523,General,4,1358,Vacant
RM00551,H019,224,Private,5,6369,Vacant
RM00552,H020,112,Private,3,5879,Vacant
RM00553,H020,519,Emergency,3,4416,Occupied
RM00554,H020,626,Private,1,5925,Vacant
RM00555,H020,213,Private,1,6118,Occupied
RM00556,H020,301,ICU,3,12166,Occupied
RM00557,H020,217,Semi-Private,6,3136,Vacant
RM00558,H020,521,Emergency,2,4465,Occupied
RM00559,H020,102,Emergency,6,4041,Occupied
RM00560,H020,230,Private,1,6369,Vacant
RM00561,H021,101,General,3,1961,Vacant
RM00562,H021,313,Semi-Private,1,2923,Vacant
RM00563,H021,521,Semi-Private,3,3065,Vacant
RM00564,H021,524,Emergency,6,4268,Vacant
RM00565,H021,204,ICU,6,12142,Occupied
RM00566,H021,118,General,4,1747,Occupied
RM00567,H021,330,General,6,1432,Vacant
RM00568,H021,615,Private,5,5818,Maintenance
RM00569,H021,322,Private,1,6196,Occupied
RM00570,H021,208,Emergency,3,4382,Vacant
RM00571,H021,517,Private,4,6207,Vacant
RM00572,H021,523,General,4,1589,Maintenance
RM00573,H021,630,Emergency,3,3877,Maintenance
RM00574,H021,208,General,3,1883,Occupied
RM00575,H021,529,Private,6,6009,Vacant
RM00576,H021,613,General,2,1774,Occupied
