payment_id,bill_id,member_id,payment_date,payment_amount,payment_mode,payment_status
PA000036,BI000036,M000698,2025-05-04,4490.19,UPI,Success
PA000037,BI000037,M000639,2024-10-25,5022.24,Wallet,Success
PA000038,BI000038,M000829,2024-08-24,2559.94,Net Banking,Failed
PA000039,BI000039,M001768,2024-01-26,4346.15,Net Banking,Success
PA000040,BI000040,M000265,2024-07-12,2213.09,UPI,Success
PA000041,BI000041,M000957,2025-07-10,821.28,Debit Card,Success
PA000042,BI000042,M000902,2024-10-30,4272.27,Debit Card,Success
PA000043,BI000043,M000061,2025-06-19,1607.62,Cash,Success
PA000044,BI000044,M001255,2025-02-15,4038.6,Wallet,Success
PA000045,BI000045,M001865,2024-02-22,1726.28,UPI,Success
PA000046,BI000046,M000765,2025-01-27,2750.12,Wallet,Success
PA000047,BI000047,M002023,2024-07-12,-2283.45,UPI,Failed
PA000048,BI000048,M002409,2024-03-05,4839.54,UPI,Success
PA000049,BI000049,M001725,2025-01-13,3952.05,Credit Card,Success
PA000050,BI000050,M002388,2025-09-20,3953.21,Net Banking,Success
PA000051,BI000051,M001033,2024-10-16,3144.95,Credit Card,Success
PA000052,BI000052,M000678,2024-12-16,5227.21,Cash,Success
PA000053,BI000053,M001267,2025-06-15,3517.25,UPI,Success
PA000054,BI000054,M000977,2024-03-21,3073.64,UPI,Failed
PA000055,BI000055,M001751,2025-05-03,-1993.76,Net Banking,Success
PA000056,BI000056,M002249,2025-10-20,1830.28,Debit Card,Success
PA000057,BI000057,M002157,2024-06-11,3829.21,Credit Card,Success
PA000058,BI000058,M001308,2024-12-21,1595.61,Net Banking,Success
PA000059,BI000059,M001478,2024-09-08,1188.57,Wallet,Failed
PA000060,BI000060,M001935,2025-04-08,2211.36,Wallet,Success
PA000061,BI000061,M001967,2025-06-24,2106.95,UPI,Success
PA000062,BI000062,M001564,2024-12-07,1910.05,Net Banking,Success
PA000063,BI000063,M000657,2025-10-27,1708.43,Net Banking,Success
PA000064,BI000064,M000132,2025-03-16,985.09,Net Banking,Success
PA000065,BI000065,M000142,2024-10-07,1556.23,UPI,Success
PA000066,BI000066,M000956,2024-07-11,3113.02,Net Banking,Success
PA000067,BI000067,M000252,2024-08-05,2690.72,Cash,Success
PA000068,BI000068,M001754,2024-01-02,1844.82,Net Banking,Success
PA000069,BI000069,M001893,2025-06-24,5196.32,Cash,Success
PA000070,BI000070,M002454,2024-06-26,2090.6,Cash,Success
PA000071,BI000071,M002444,2025-03-03,1748.69,UPI,Success
PA000072,BI000072,M000493,2025-05-06,2298.61,,Success
PA000073,BI000073,M000478,2024-07-03,2422.35,Cash,Success
PA000074,BI000074,M002064,2025-03-24,1742.51,UPI,Success
PA000075,BI000075,M001207,2024-09-12,1727.92,Credit Card,Success
PA000076,BI000076,M002044,2024-11-16,2848.49,UPI,Success
PA000077,BI000077,M001314,2024-02-01,2165.0,Wallet,Success
PA000078,BI000078,M001556,2024-07-29,2929.82,Debit Card,Success
PA000079,BI000079,M000526,2025-04-24,2933.16,Wallet,Success
PA000080,BI000080,M000829,2024-09-14,1530.29,Net Banking,Success
PA000081,BI000081,M001183,2024-03-27,1809.79,Wallet,Success
PA000082,BI000082,M002333,2024-05-13,3655.6,UPI,Success
PA000083,BI000083,M001039,2025-10-09,1877.79,UPI,Success
PA000084,BI000084,M001728,2024-02-27,4753.9,Debit Card,Success
PA000085,BI000085,M001197,2025-07-19,3099.39,Net Banking,Success
PA000086,BI000086,M000202,2025-08-13,4223.03,Credit Card,Success
PA000087,BI000087,M000209,2024-08-15,3869.67,Wallet,Success
PA000088,BI000088,M001673,2024-07-20,-4634.86,Net Banking,Success
PA000089,BI000089,M001218,2025-08-04,3637.93,Debit Card,Refunded
PA000090,BI000090,M001695,2024-12-06,2239.86,Net Banking,Success
PA000091,BI000091,M002143,2024-10-20,4649.52,Wallet,Success
PA000092,BI000092,M001669,2025-02-26,3146.52,Credit Card,Success
PA000093,BI000093,M001232,2024-10-19,4443.89,Debit Card,Success
PA000094,BI000094,M001662,2024-03-31,4730.57,,Success
PA000095,BI000095,M002140,2025-05-02,2351.99,Net Banking,Success
PA000096,BI000096,M000211,2025-05-19,3951.94,Cash,Success
PA000097,BI000097,M001064,2024-04-20,2225.89,Wallet,Success
PA000098,BI000098,M001009,2024-11-17,3688.16,Wallet,Success
PA000099,BI000099,M001366,2025-11-10,5377.81,Net Banking,Success
PA000100,BI000100,M001934,2025-05-27,1960.46,Net Banking,Success
PA000101,BI000101,M000193,2025-12-19,1514.16,Credit Card,Success
PA000102,BI000102,M002016,2024-10-31,3341.64,Net Banking,Success
PA000103,BI000103,M000477,2025-03-04,3785.11,Net Banking,Success
PA000104,BI000104,M000042,2024-10-29,2133.65,Wallet,Success
PA000105,BI000105,M002269,2024-07-19,4447.96,Cash,Success
PA000106,BI000106,M001758,2025-06-16,999.6,Debit Card,Success
PA000107,BI000107,M000480,2025-10-05,2434.65,Wallet,Success
PA000108,BI000108,M001175,2024-03-31,4935.4,Debit Card,Success
PA000109,BI000109,M002437,2025-12-22,2801.17,,Success
PA000110,BI000110,M000178,2025-10-10,4746.68,Net Banking,Success
PA000111,BI000111,M001705,2024-11-04,2587.34,UPI,Success
PA000112,BI000112,M000889,2024-10-11,5249.68,UPI,Success
PA000113,BI000113,M000711,2025-12-27,3605.38,Wallet,Success
PA000114,BI000114,M001688,2025-08-01,1769.61,UPI,Success
PA000115,BI000115,M000516,2025-12-12,1596.07,Credit Card,Success
PA000116,BI000116,M002016,2024-05-05,2030.21,Debit Card,Success
PA000117,BI000117,M001013,2024-12-05,3191.0,Cash,Success
PA000118,BI000118,M001790,2024-05-03,1322.7,UPI,Success
PA000119,BI000119,M001455,2025-08-04,1989.8,Debit Card,Success
PA000120,BI000120,M001855,2025-02-04,2824.06,Credit Card,Success
PA000121,BI000121,M000779,2025-06-11,2425.34,Wallet,Success
PA000122,BI000122,M002441,2024-08-04,2758.29,Cash,Success
PA000123,BI000123,M001049,2024-07-06,5141.79,Net Banking,Failed
PA000124,BI000124,M001163,2024-05-27,1085.68,Debit Card,Success
PA000125,BI000125,M002446,2024-12-18,2494.66,Wallet,Success
PA000126,BI000126,M000404,2024-06-16,2253.35,Net Banking,Success
PA000127,BI000127,M001902,2024-03-04,3829.46,UPI,Success
PA000128,BI000128,M000780,2024-09-27,2768.91,Credit Card,Success
PA000129,BI000129,M000713,2024-02-21,2310.13,Debit Card,Success
PA000130,BI000130,M001342,2024-06-09,5498.47,Credit Card,Success
PA000131,BI000131,M001551,2025-02-16,2295.38,Credit Card,Success
PA000132,BI000132,M000915,2024-02-13,3027.23,UPI,Success
PA000133,BI000133,M001773,2024-11-22,3718.39,Wallet,Success
PA000134,BI000134,M000150,2024-09-23,3463.35,Wallet,Success
PA000135,BI000135,M001549,2024-10-08,4431.64,Credit Card,Success
PA000136,BI000136,M001687,2024-03-08,2888.26,Net Banking,Success
PA000137,BI000137,M000454,2025-01-04,4847.75,Cash,Success
PA000138,BI000138,M001904,2024-07-17,2166.1,Net Banking,Success
PA000139,BI000139,M001303,2024-05-20,2638.67,Wallet,Success
PA000140,BI000140,M001656,2025-10-12,4411.08,Credit Card,Success
PA000141,BI000141,M001327,2024-01-12,-4978.46,Credit Card,Failed
PA000142,BI000142,M001237,2024-01-28,2228.04,UPI,Success
PA000143,BI000143,M001993,2024-09-15,2675.62,Wallet,Success
PA000144,BI000144,M001236,2025-03-25,4850.14,,Success
PA000145,BI000145,M001999,2024-08-08,5096.89,Debit Card,Success
PA000146,BI000146,M001822,2025-01-31,2820.71,Debit Card,Success
PA000147,BI000147,M001435,2024-11-03,3093.42,Net Banking,Success
PA000148,BI000148,M002090,2024-02-22,4744.02,Net Banking,Failed
PA000149,BI000149,M001033,2024-10-16,3230.33,Net Banking,Success
PA000150,BI000150,M001322,2024-10-17,3078.19,Wallet,Refunded
PA000151,BI000151,M000740,2025-12-03,3020.94,Cash,Success
PA000152,BI000152,M001541,2025-05-11,3425.16,Wallet,Success
PA000153,BI000153,M002390,2025-05-11,1815.77,Wallet,Success
PA000154,BI000154,M000230,2024-05-30,3376.89,Wallet,Success
PA000155,BI000155,M000997,2025-11-01,4317.74,Cash,Failed
PA000156,BI000156,M001626,2025-09-18,4786.54,Wallet,Success
PA000157,BI000157,M000780,2025-04-08,4812.49,Credit Card,Success
PA000158,BI000158,M000894,2025-07-20,2252.78,Debit Card,Success
PA000159,BI000159,M001360,2024-11-20,3598.47,Net Banking,Success
PA000160,BI000160,M002107,2025-09-19,2764.1,Credit Card,Success
PA000161,BI000161,M000810,2024-10-03,2433.04,UPI,Success
PA000162,BI000162,M002090,2025-11-05,3271.71,Net Banking,Success
PA000163,BI000163,M002067,2025-12-31,4308.55,UPI,Success
PA000164,BI000164,M000769,2024-05-30,2677.2,Credit Card,Success
PA000165,BI000165,M001141,2024-10-12,2346.19,Debit Card,Success
PA000166,BI000166,M000861,2025-10-03,1639.28,Net Banking,Success
PA000167,BI000167,M000427,2024-02-14,4341.35,Cash,Success
PA000168,BI000168,M000799,2025-05-07,1421.99,Wallet,Success
PA000169,BI000169,M001279,2025-07-31,3658.42,UPI,Success
PA000170,BI000170,M000619,2024-04-19,2459.82,UPI,Success
PA000171,BI000171,M000560,2024-01-20,3836.52,Net Banking,Success
PA000172,BI000172,M000383,2025-10-07,4346.65,UPI,Success
PA000173,BI000173,M002427,2025-08-13,3002.14,Cash,Success
PA000174,BI000174,M002104,2024-03-11,2977.94,Wallet,Success
PA000175,BI000175,M001027,2024-06-22,3810.5,Wallet,Success
PA000176,BI000176,M001621,2024-10-02,2303.96,Cash,Success
PA000177,BI000177,M000279,2025-12-18,4693.21,Net Banking,Success
PA000178,BI000178,M001254,2024-08-05,2349.15,Debit Card,Success
PA000179,BI000179,M001284,2024-12-30,4254.58,Net Banking,Success
PA000180,BI000180,M001145,2024-12-04,1904.12,Credit Card,Success
PA000181,BI000181,M002129,2024-05-14,3163.86,Cash,Success
PA000182,BI000182,M000374,2025-09-11,830.56,Cash,Success
PA000183,BI000183,M001236,2025-03-25,3743.17,Credit Card,Success
PA000184,BI000184,M000441,2024-06-14,3444.72,Debit Card,Success
PA000185,BI000185,M001350,2025-12-31,2056.45,Wallet,Success
PA000186,BI000186,M001930,2024-02-03,3016.56,Credit Card,Failed
PA000187,BI000187,M001441,2024-10-28,4451.46,Wallet,Success
PA000188,BI000188,M000745,2025-09-04,2949.69,Credit Card,Success
PA000189,BI000189,M000915,2025-03-23,2317.92,Debit Card,Success
PA000190,BI000190,M002435,2024-12-06,5309.51,Wallet,Success
PA000191,BI000191,M001170,2024-11-12,2457.7,UPI,Success
PA000192,BI000192,M000844,2024-06-08,4718.84,Net Banking,Success
PA000193,BI000193,M002216,2024-02-03,4329.08,Cash,Success
PA000194,BI000194,M001143,2024-08-04,1467.03,Wallet,Success
PA000195,BI000195,M001016,2024-09-04,5591.49,Wallet,Success
PA000196,BI000196,M000774,2024-04-10,2870.66,Cash,Success
PA000197,BI000197,M000140,2025-03-03,3455.71,UPI,Success
PA000198,BI000198,M002187,2025-07-12,3352.84,Net Banking,Success
PA000199,BI000199,M002085,2024-03-19,-4968.86,Net Banking,Success
PA000200,BI000200,M000639,2024-05-12,2405.57,Credit Card,Success
PA000201,BI000201,M001401,2024-07-15,2597.5,Wallet,Success
PA000202,BI000202,M000085,2025-03-04,1448.73,UPI,Success
PA000203,BI000203,M001672,2024-11-19,2129.08,Wallet,Success
PA000204,BI000204,M000088,2025-07-30,1509.06,Debit Card,Success
PA000205,BI000205,M000898,2025-10-14,4545.41,Cash,Success
PA000206,BI000206,M000328,2025-09-07,2714.42,Net Banking,Success
PA000207,BI000207,M001751,2025-05-03,4034.43,Net Banking,Success
PA000208,BI000208,M001943,2025-11-07,1181.41,Wallet,Success
PA000209,BI000209,M000786,2025-08-03,3777.95,Debit Card,Success
PA000210,BI000210,M000144,2025-03-25,1780.59,Debit Card,Success
PA000211,BI000211,M001001,2025-09-23,4150.96,UPI,Success
PA000212,BI000212,M000515,2025-08-21,4124.56,UPI,Success
PA000213,BI000213,M002216,2024-01-06,3901.18,Net Banking,Success
PA000214,BI000214,M001090,2024-09-09,2645.14,UPI,Success
PA000215,BI000215,M001725,2025-01-13,3411.15,,Success
PA000216,BI000216,M000916,2024-06-22,3277.01,UPI,Success
PA000217,BI000217,M001741,2025-08-12,3712.78,Wallet,Failed
PA000218,BI000218,M000527,2025-09-04,4907.04,Cash,Success
PA000219,BI000219,M000839,2024-04-15,3235.15,UPI,Success
PA000220,BI000220,M002006,2024-12-13,3317.78,UPI,Success
PA000221,BI000221,M000761,2024-05-08,2315.38,Wallet,Failed
PA000222,BI000222,M000787,2025-09-01,2317.8,Credit Card,Success
PA000223,BI000223,M002013,2024-09-21,1455.44,Net Banking,Success
PA000224,BI000224,M001870,2025-01-20,4612.99,Credit Card,Success
PA000225,BI000225,M000885,2025-11-12,3342.78,Wallet,Success
PA000226,BI000226,M000954,2025-10-31,2852.59,Cash,Success
PA000227,BI000227,M001883,2025-07-10,2823.87,Credit Card,Success
PA000228,BI000228,M001997,2024-04-30,1696.13,Credit Card,Success
PA000229,BI000229,M001607,2024-09-03,3222.33,Debit Card,Success
PA000230,BI000230,M001628,2025-06-28,4688.85,Debit Card,Success
PA000231,BI000231,M001377,2025-12-02,3371.31,Wallet,Success
PA000232,BI000232,M001717,2025-04-27,3386.94,Net Banking,Failed
PA000233,BI000233,M002130,2024-12-25,4780.55,Credit Card,Success
PA000234,BI000234,M000607,2024-04-23,3617.98,UPI,Success
PA000235,BI000235,M000100,2024-11-02,4146.77,Net Banking,Success
PA000236,BI000236,M001321,2024-09-26,2002.21,Credit Card,Success
PA000237,BI000237,M001005,2024-08-20,4513.11,Debit Card,Success
PA000238,BI000238,M001194,2025-09-01,5113.19,UPI,Success
PA000239,BI000239,M001507,2024-10-03,2246.11,Debit Card,Success
PA000240,BI000240,M001086,2024-02-13,1300.17,Cash,Success
PA000241,BI000241,M001353,2025-08-26,2891.4,Net Banking,Success
PA000242,BI000242,M000617,2025-07-01,3422.47,Wallet,Success
PA000243,BI000243,M001060,2024-02-24,4539.28,UPI,Success
PA000244,BI000244,M002367,2025-04-24,4747.5,Wallet,Success
PA000245,BI000245,M000215,2024-10-13,1747.66,Wallet,Success
PA000246,BI000246,M002302,2024-01-21,3042.88,,Success
PA000247,BI000247,M001798,2025-04-20,5332.66,Cash,Failed
PA000248,BI000248,M000638,2024-11-09,4984.5,UPI,Success
PA000249,BI000249,M001337,2025-09-01,1638.55,UPI,Failed
PA000250,BI000250,M001939,2025-12-20,2089.44,UPI,Success
PA000251,BI000251,M002429,2024-11-10,4097.14,Credit Card,Success
PA000252,BI000252,M001797,2024-12-13,4939.06,Debit Card,Success
PA000253,BI000253,M002135,2024-06-25,3644.38,Credit Card,Success
PA000254,BI000254,M001104,2024-09-22,3890.52,Credit Card,Failed
PA000255,BI000255,M002269,2024-08-09,3975.22,Net Banking,Failed
PA000256,BI000256,M000151,2025-01-25,4728.33,Credit Card,Success
PA000257,BI000257,M000425,2024-02-23,2583.08,Net Banking,Success
PA000258,BI000258,M001971,2025-01-04,2013.08,UPI,Success
PA000259,BI000259,M001401,2024-04-11,3352.2,Wallet,Success
PA000260,BI000260,M000349,2024-04-20,3358.86,Credit Card,Success
PA000261,BI000261,M000859,2025-12-30,4288.68,UPI,Success
PA000262,BI000262,M001712,2024-12-14,2892.26,Net Banking,Success
PA000263,BI000263,M001983,2025-02-01,3896.5,UPI,Success
PA000264,BI000264,M000632,2025-01-10,2754.2,UPI,Success
PA000265,BI000265,M002112,2025-11-07,3320.9,Cash,Success
PA000266,BI000266,M001756,2025-12-24,4893.93,Wallet,Success
PA000267,BI000267,M000915,2024-01-06,3309.19,Wallet,Success
PA000268,BI000268,M001854,2024-04-24,3177.34,Cash,Success
PA000269,BI000269,M001585,2025-09-07,2784.73,Credit Card,Refunded
PA000270,BI000270,M001228,2025-07-26,1002.08,Cash,Success
PA000271,BI000271,M000990,2025-05-14,2736.33,Debit Card,Success
PA000272,BI000272,M001113,2024-07-28,2895.39,Net Banking,Success
PA000273,BI000273,M002008,2024-08-12,3027.27,Wallet,Success
PA000274,BI000274,M000866,2024-04-02,5138.56,Net Banking,Success
PA000275,BI000275,M002344,2024-04-05,4048.16,Cash,Success
PA000276,BI000276,M001563,2025-05-24,2331.28,Wallet,Success
PA000277,BI000277,M001538,2024-09-22,2552.24,Net Banking,Success
PA000278,BI000278,M001027,2025-03-03,2147.29,Credit Card,Success
PA000279,BI000279,M001717,2025-04-27,1627.32,Wallet,Success
PA000280,BI000280,M000423,2024-05-07,3041.3,Credit Card,Success
PA000281,BI000281,M002291,2025-07-07,4825.98,Debit Card,Success
PA000282,BI000282,M000186,2025-12-10,4087.03,UPI,Success
PA000283,BI000283,M000936,2024-05-16,3436.0,Net Banking,Success
PA000284,BI000284,M001292,2024-12-30,3051.71,Net Banking,Failed
PA000285,BI000285,M001071,2024-02-14,1698.87,Wallet,Success
PA000286,BI000286,M001914,2025-10-28,1995.28,Debit Card,Refunded
PA000287,BI000287,M002174,2025-03-14,3010.31,Debit Card,Failed
PA000288,BI000288,M000826,2025-08-04,3578.01,Debit Card,Success
PA000289,BI000289,M000616,2024-05-01,3994.02,Debit Card,Success
PA000290,BI000290,M001336,2025-09-24,4594.77,Cash,Success
PA000291,BI000291,M002047,2024-04-08,2950.08,Cash,Failed
PA000292,BI000292,M002237,2025-12-08,2829.26,Net Banking,Success
PA000293,BI000293,M001672,2024-05-12,3554.87,Debit Card,Success
PA000294,BI000294,M000437,2024-02-01,3009.06,UPI,Success
PA000295,BI000295,M001514,2025-04-03,1382.75,Credit Card,Success
PA000296,BI000296,M001661,2024-02-05,3706.35,Net Banking,Success
PA000297,BI000297,M001484,2024-08-25,1142.77,Credit Card,Success
PA000298,BI000298,M001413,2025-02-04,3449.57,Wallet,Success
PA000299,BI000299,M002365,2024-07-16,2949.55,Debit Card,Success
PA000300,BI000300,M002013,2024-09-21,4559.93,Net Banking,Failed
PA000301,BI000301,M000472,2024-03-01,3464.44,Credit Card,Success
PA000302,BI000302,M001336,2025-04-17,4501.93,Cash,Success
PA000303,BI000303,M000916,2024-04-04,4880.63,Net Banking,Success
PA000304,BI000304,M001920,2025-11-12,2065.63,UPI,Success
PA000305,BI000305,M001292,2025-12-22,2159.2,Net Banking,Success
PA000306,BI000306,M002064,2024-10-22,4081.49,Debit Card,Success
PA000307,BI000307,M002415,2025-04-22,1411.18,Credit Card,Failed
PA000308,BI000308,M001138,2025-03-27,3529.38,Net Banking,Failed
PA000309,BI000309,M001086,2025-06-18,2544.77,UPI,Success
PA000310,BI000310,M001259,2024-04-28,2535.57,Wallet,Success
PA000311,BI000311,M000007,2025-06-24,4261.82,Debit Card,Success
PA000312,BI000312,M000759,2025-04-01,4768.4,Debit Card,Success
PA000313,BI000313,M002169,2025-08-30,1813.43,,Failed
PA000314,BI000314,M001958,2024-05-07,2879.27,Credit Card,Success
PA000315,BI000315,M000470,2024-02-03,1792.15,UPI,Success
PA000316,BI000316,M002359,2025-04-01,4111.29,Cash,Success
PA000317,BI000317,M000769,2024-05-30,2259.42,Wallet,Success
PA000318,BI000318,M001566,2024-03-15,3602.71,Credit Card,Success
PA000319,BI000319,M001554,2024-04-07,3689.25,Wallet,Success
PA000320,BI000320,M001206,2025-02-26,1940.89,Cash,Success
PA000321,BI000321,M000446,2024-10-07,2999.83,Wallet,Success
PA000322,BI000322,M000915,2025-05-21,4677.99,Net Banking,Success
PA000323,BI000323,M001141,2024-10-12,2076.28,Cash,Failed
PA000324,BI000324,M001707,2025-08-01,1819.49,Debit Card,Success
PA000325,BI000325,M001803,2025-04-10,2894.84,Debit Card,Success
PA000326,BI000326,M000287,2025-03-30,2750.27,Wallet,Success
PA000327,BI000327,M001555,2024-05-09,3658.49,Credit Card,Success
PA000328,BI000328,M001645,2024-07-15,1826.48,Net Banking,Success
PA000329,BI000329,M000303,2025-03-15,2868.96,Wallet,Success
PA000330,BI000330,M001539,2025-09-16,4918.02,Wallet,Success
PA000331,BI000331,M002044,2024-11-16,4019.38,UPI,Success
PA000332,BI000332,M001218,2025-07-11,3882.1,Net Banking,Failed
PA000333,BI000333,M000071,2024-08-13,1214.79,Cash,Success
PA000334,BI000334,M002266,2025-01-16,1997.08,Wallet,Success
PA000335,BI000335,M000991,2024-11-30,3136.15,Debit Card,Failed
PA000336,BI000336,M001964,2024-12-06,4865.95,Debit Card,Failed
PA000337,BI000337,M000915,2025-05-21,4511.69,Cash,Success
PA000338,BI000338,M000274,2025-11-24,3998.14,Net Banking,Success
PA000339,BI000339,M001071,2024-12-12,3378.85,Net Banking,Success
PA000340,BI000340,M001151,2025-12-30,2796.35,UPI,Success
PA000341,BI000341,M001826,2025-05-03,2622.38,Net Banking,Success
PA000342,BI000342,M000644,2024-02-09,3627.55,Credit Card,Success
PA000343,BI000343,M001376,2024-03-29,2740.9,Net Banking,Success
PA000344,BI000344,M000369,2025-07-17,4634.61,Net Banking,Success
PA000345,BI000345,M001654,2024-03-26,2272.43,Cash,Success
PA000346,BI000346,M000370,2025-10-27,2297.77,Cash,Success
PA000347,BI000347,M002452,2025-03-11,4129.85,Cash,Success
PA000348,BI000348,M000477,2025-04-09,2609.29,Debit Card,Success
PA000349,BI000349,M002435,2025-08-01,1366.56,Debit Card,Success
PA000350,BI000350,M001700,2025-07-16,2105.1,Wallet,Success
PA000351,BI000351,M002374,2024-12-10,4074.61,Credit Card,Success
PA000352,BI000352,M002440,2024-10-28,4048.21,Net Banking,Success
PA000353,BI000353,M002087,2024-12-09,2211.64,Credit Card,Failed
PA000354,BI000354,M000954,2025-10-31,3586.77,Credit Card,Success
PA000355,BI000355,M000431,2025-05-06,2470.64,Net Banking,Success
PA000356,BI000356,M000529,2024-08-14,2987.78,Debit Card,Success
PA000357,BI000357,M000325,2024-12-15,2403.93,Wallet,Success
PA000358,BI000358,M001935,2025-09-22,2153.48,Cash,Success
PA000359,BI000359,M001749,2024-11-28,2820.59,Net Banking,Success
PA000360,BI000360,M002181,2025-05-28,2806.84,Credit Card,Success
PA000361,BI000361,M001147,2025-11-05,2260.89,Credit Card,Success
PA000362,BI000362,M000777,2024-07-26,2777.68,Net Banking,Failed
PA000363,BI000363,M000136,2024-07-20,2796.58,Wallet,Success
PA000364,BI000364,M001611,2024-04-09,3805.19,Credit Card,Success
PA000365,BI000365,M000334,2025-08-04,5144.07,,Success
PA000366,BI000366,M000915,2024-01-06,3123.8,Credit Card,Success
PA000367,BI000367,M000498,2024-02-03,-2773.36,,Success
PA000368,BI000368,M001381,2024-03-10,2922.67,Credit Card,Success
PA000369,BI000369,M000556,2024-06-11,3545.53,Net Banking,Success
PA000370,BI000370,M000211,2025-06-17,3934.31,Wallet,Success
PA000371,BI000371,M001707,2025-10-11,1991.21,Debit Card,Success
PA000372,BI000372,M001255,2024-08-25,1379.79,Credit Card,Success
PA000373,BI000373,M000230,2024-01-21,2785.46,Debit Card,Success
PA000374,BI000374,M002147,2025-05-30,2210.17,UPI,Success
PA000375,BI000375,M000822,2024-01-18,3148.0,Net Banking,Failed
PA000376,BI000376,M000594,2024-11-02,4966.99,Net Banking,Success
PA000377,BI000377,M001910,2024-01-21,1852.1,Net Banking,Success
PA000378,BI000378,M002266,2025-05-03,-2302.73,UPI,Success
PA000379,BI000379,M000997,2024-12-10,5190.95,Wallet,Success
PA000380,BI000380,M000844,2024-06-08,2759.81,UPI,Failed
PA000381,BI000381,M001666,2025-09-12,2052.97,,Success
PA000382,BI000382,M001286,2024-04-09,4384.84,Debit Card,Success
PA000383,BI000383,M000990,2024-05-02,3459.55,Cash,Success
PA000384,BI000384,M001834,2024-08-15,4426.69,Debit Card,Success
PA000385,BI000385,M000273,2024-11-12,3979.36,Cash,Success
PA000386,BI000386,M000632,2024-04-07,2185.76,Credit Card,Success
PA000387,BI000387,M000796,2025-06-20,4916.37,Debit Card,Success
PA000388,BI000388,M001590,2025-03-04,3092.88,Credit Card,Success
PA000389,BI000389,M001738,2025-07-13,879.78,Wallet,Success
PA000390,BI000390,M000683,2024-12-10,3883.13,Credit Card,Success
PA000391,BI000391,M000960,2024-09-28,2183.17,Wallet,Success
PA000392,BI000392,M001021,2024-04-17,4375.68,Wallet,Success
PA000393,BI000393,M001147,2025-11-05,2211.13,Cash,Success
PA000394,BI000394,M001529,2024-07-09,3911.94,Debit Card,Success
PA000395,BI000395,M000288,2024-04-22,1715.76,Debit Card,Success
PA000396,BI000396,M000397,2025-07-07,3323.24,Credit Card,Success
PA000397,BI000397,M000424,2025-12-17,1021.56,UPI,Success
PA000398,BI000398,M001138,2024-05-27,3642.14,Wallet,Success
PA000399,BI000399,M001996,2025-04-25,4619.71,Net Banking,Success
PA000400,BI000400,M001393,2025-04-28,3504.2,Debit Card,Success
PA000401,BI000401,M001148,2025-09-10,2340.59,Net Banking,Success
PA000402,BI000402,M001843,2024-08-29,4751.57,Credit Card,Success
PA000403,BI000403,M000950,2024-06-24,3069.11,UPI,Success
PA000404,BI000404,M001502,2025-09-30,5014.89,Wallet,Success
PA000405,BI000405,M002044,2025-12-31,3863.0,,Success
PA000406,BI000406,M001834,2024-08-15,1883.2,Credit Card,Success
PA000407,BI000407,M000140,2025-03-14,5054.51,Wallet,Success
